#Data tag : v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 297050:5839 | 06/16/17 20:55:45 | 710  | 710  | 0.096          | 0.094         |
| 297056:5840 | 06/17/17 05:00:46 | 192  | 192  | 0.031          | 0.028         |
| 297057:5840 | 06/17/17 06:18:36 | 873  | 873  | 0.115          | 0.112         |
| 297099:5842 | 06/17/17 19:23:59 | 39   | 39   | 0.008          | 0.007         |
| 297100:5842 | 06/17/17 19:41:21 | 371  | 369  | 0.074          | 0.070         |
| 297101:5842 | 06/17/17 22:12:26 | 1085 | 1085 | 0.164          | 0.160         |
| 297113:5845 | 06/18/17 12:43:13 | 246  | 239  | 0.056          | 0.050         |
| 297114:5845 | 06/18/17 14:21:05 | 155  | 155  | 0.033          | 0.032         |
| 297175:5848 | 06/19/17 19:04:40 | 85   | 76   | 0.019          | 0.016         |
| 297176:5848 | 06/19/17 19:42:18 | 200  | 196  | 0.042          | 0.039         |
| 297177:5848 | 06/19/17 21:04:31 | 162  | 158  | 0.032          | 0.030         |
| 297178:5848 | 06/19/17 22:09:07 | 1347 | 1340 | 0.200          | 0.196         |
| 297215:5849 | 06/20/17 13:53:03 | 47   | 47   | 0.013          | 0.012         |
| 297218:5849 | 06/20/17 14:14:26 | 27   | 24   | 0.007          | 0.004         |
| 297219:5849 | 06/20/17 14:26:08 | 2608 | 2607 | 0.436          | 0.424         |
| 297224:5849 | 06/21/17 07:56:04 | 125  | 125  | 0.012          | 0.012         |
| 297225:5849 | 06/21/17 08:49:06 | 32   | 25   | 0.003          | 0.002         |
| 297227:5849 | 06/21/17 09:04:44 | 184  | 184  | 0.016          | 0.016         |
| 297292:5856 | 06/22/17 02:42:29 | 738  | 735  | 0.179          | 0.169         |
| 297293:5856 | 06/22/17 07:41:33 | 145  | 139  | 0.030          | 0.027         |
| 297296:5856 | 06/22/17 08:47:07 | 484  | 479  | 0.088          | 0.084         |
| 297308:5856 | 06/22/17 12:06:46 | 44   | 44   | 0.007          | 0.006         |
| 297359:5862 | 06/23/17 03:26:00 | 49   | 49   | 0.014          | 0.013         |
| 297411:5864 | 06/23/17 13:35:24 | 911  | 911  | 0.209          | 0.200         |
| 297424:5865 | 06/24/17 00:42:30 | 118  | 117  | 0.034          | 0.031         |
| 297425:5865 | 06/24/17 01:29:39 | 153  | 149  | 0.043          | 0.040         |
| 297426:5865 | 06/24/17 02:30:35 | 101  | 100  | 0.027          | 0.025         |
| 297429:5865 | 06/24/17 03:24:59 | 72   | 72   | 0.018          | 0.017         |
| 297430:5865 | 06/24/17 04:03:47 | 199  | 199  | 0.048          | 0.046         |
| 297431:5865 | 06/24/17 05:23:08 | 177  | 174  | 0.040          | 0.038         |
| 297432:5865 | 06/24/17 06:36:25 | 112  | 112  | 0.024          | 0.023         |
| 297433:5865 | 06/24/17 07:41:47 | 159  | 153  | 0.032          | 0.030         |
| 297434:5865 | 06/24/17 08:43:19 | 161  | 156  | 0.030          | 0.029         |
| 297435:5865 | 06/24/17 09:45:40 | 94   | 94   | 0.017          | 0.017         |
| 297467:5868 | 06/24/17 19:48:19 | 89   | 89   | 0.029          | 0.027         |
| 297468:5868 | 06/24/17 20:28:57 | 74   | 74   | 0.024          | 0.023         |
| 297469:5868 | 06/24/17 21:02:04 | 66   | 66   | 0.020          | 0.018         |
| 297483:5872 | 06/25/17 05:36:28 | 172  | 171  | 0.051          | 0.047         |
| 297484:5872 | 06/25/17 06:47:17 | 204  | 204  | 0.057          | 0.054         |
| 297485:5872 | 06/25/17 08:17:19 | 402  | 397  | 0.100          | 0.095         |
| 297486:5872 | 06/25/17 11:05:55 | 617  | 615  | 0.127          | 0.123         |
| 297487:5872 | 06/25/17 15:14:37 | 600  | 595  | 0.099          | 0.096         |
| 297488:5872 | 06/25/17 19:17:09 | 418  | 418  | 0.057          | 0.056         |
| 297503:5873 | 06/26/17 02:02:27 | 748  | 745  | 0.190          | 0.182         |
| 297504:5873 | 06/26/17 07:10:25 | 53   | 52   | 0.011          | 0.011         |
| 297505:5873 | 06/26/17 08:06:28 | 394  | 394  | 0.077          | 0.075         |
| 297557:5876 | 06/26/17 23:20:35 | 334  | 334  | 0.099          | 0.093         |
| 297558:5876 | 06/27/17 01:56:22 | 258  | 255  | 0.068          | 0.065         |
| 297562:5876 | 06/27/17 05:58:50 | 319  | 318  | 0.065          | 0.062         |
| 297563:5876 | 06/27/17 08:23:21 | 259  | 259  | 0.047          | 0.046         |
| 297598:5878 | 06/27/17 14:59:44 | 13   | 6    | 0.004          | 0.001         |
| 297599:5878 | 06/27/17 15:06:25 | 347  | 342  | 0.097          | 0.092         |
