#Data tag : v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 299368:5962 | 07/18/17 16:09:23 | 139  | 131  | 0.044          | 0.034         |
| 299369:5962 | 07/18/17 17:05:01 | 303  | 302  | 0.091          | 0.081         |
| 299370:5962 | 07/18/17 19:39:21 | 666  | 666  | 0.156          | 0.146         |
| 299380:5963 | 07/19/17 02:35:27 | 194  | 191  | 0.062          | 0.056         |
| 299381:5963 | 07/19/17 04:00:43 | 45   | 45   | 0.014          | 0.012         |
| 299394:5965 | 07/19/17 07:30:38 | 29   | 22   | 0.009          | 0.006         |
| 299395:5965 | 07/19/17 07:42:23 | 187  | 182  | 0.060          | 0.040         |
| 299396:5965 | 07/19/17 08:55:05 | 81   | 81   | 0.025          | 0.018         |
| 299420:5966 | 07/19/17 12:04:00 | 49   | 49   | 0.016          | 0.014         |
| 299443:5971 | 07/20/17 00:32:54 | 20   | 20   | 0.007          | 0.006         |
| 299450:5974 | 07/20/17 04:37:03 | 50   | 50   | 0.015          | 0.013         |
| 299477:5976 | 07/20/17 12:44:21 | 10   | 10   | 0.003          | 0.002         |
| 299478:5976 | 07/20/17 13:06:44 | 175  | 172  | 0.053          | 0.047         |
| 299479:5976 | 07/20/17 14:18:01 | 123  | 117  | 0.036          | 0.031         |
| 299480:5976 | 07/20/17 15:07:52 | 715  | 711  | 0.184          | 0.170         |
| 299481:5976 | 07/20/17 19:55:18 | 1200 | 1200 | 0.205          | 0.193         |
| 299593:5979 | 07/21/17 18:23:45 | 801  | 797  | 0.203          | 0.187         |
| 299594:5979 | 07/21/17 23:38:54 | 317  | 309  | 0.068          | 0.062         |
| 299595:5979 | 07/22/17 01:48:02 | 135  | 135  | 0.026          | 0.026         |
| 299597:5979 | 07/22/17 02:46:03 | 537  | 537  | 0.091          | 0.087         |
| 299649:5984 | 07/24/17 02:38:21 | 182  | 182  | 0.064          | 0.058         |
| 300087:6019 | 07/29/17 06:23:31 | 201  | 194  | 0.014          | 0.013         |
| 300105:6020 | 07/29/17 12:14:52 | 21   | 21   | 0.006          | 0.001         |
| 300106:6020 | 07/29/17 12:26:04 | 74   | 74   | 0.025          | 0.020         |
| 300107:6020 | 07/29/17 12:58:01 | 46   | 46   | 0.015          | 0.014         |
| 300117:6021 | 07/29/17 16:45:44 | 33   | 33   | 0.010          | 0.006         |
| 300122:6024 | 07/29/17 21:46:18 | 1244 | 1235 | 0.334          | 0.301         |
| 300123:6024 | 07/30/17 05:57:59 | 610  | 601  | 0.111          | 0.103         |
| 300155:6026 | 07/30/17 18:49:41 | 1195 | 1188 | 0.319          | 0.288         |
| 300156:6026 | 07/31/17 02:33:41 | 72   | 64   | 0.015          | 0.012         |
| 300157:6026 | 07/31/17 03:14:44 | 1099 | 1099 | 0.180          | 0.170         |
| 300226:6030 | 07/31/17 17:03:13 | 406  | 406  | 0.135          | 0.119         |
| 300233:6031 | 07/31/17 22:08:07 | 120  | 111  | 0.042          | 0.032         |
| 300234:6031 | 07/31/17 22:55:49 | 59   | 59   | 0.020          | 0.015         |
| 300235:6031 | 07/31/17 23:21:52 | 187  | 181  | 0.060          | 0.051         |
| 300236:6031 | 08/01/17 00:39:29 | 177  | 172  | 0.054          | 0.047         |
| 300237:6031 | 08/01/17 01:48:17 | 715  | 715  | 0.178          | 0.166         |
| 300238:6031 | 08/01/17 06:39:52 | 297  | 290  | 0.057          | 0.051         |
| 300239:6031 | 08/01/17 08:36:44 | 208  | 202  | 0.036          | 0.032         |
| 300240:6031 | 08/01/17 10:10:56 | 355  | 354  | 0.052          | 0.048         |
| 300280:6035 | 08/02/17 04:47:45 | 548  | 548  | 0.172          | 0.141         |
| 300281:6035 | 08/02/17 09:00:44 | 6    | 6    | 0.002          | 0.002         |
| 300282:6035 | 08/02/17 09:08:16 | 135  | 131  | 0.036          | 0.031         |
| 300283:6035 | 08/02/17 10:20:31 | 34   | 26   | 0.009          | 0.006         |
| 300284:6035 | 08/02/17 10:35:39 | 679  | 679  | 0.143          | 0.134         |
| 300364:6041 | 08/03/17 12:13:45 | 20   | 17   | 0.007          | 0.004         |
| 300365:6041 | 08/03/17 12:25:03 | 20   | 13   | 0.007          | 0.004         |
| 300366:6041 | 08/03/17 12:34:35 | 21   | 14   | 0.006          | 0.003         |
| 300367:6041 | 08/03/17 12:44:42 | 20   | 13   | 0.006          | 0.003         |
| 300368:6041 | 08/03/17 12:54:06 | 20   | 13   | 0.006          | 0.003         |
| 300369:6041 | 08/03/17 13:03:35 | 20   | 13   | 0.006          | 0.003         |
| 300370:6041 | 08/03/17 13:13:08 | 20   | 13   | 0.006          | 0.003         |
| 300371:6041 | 08/03/17 13:22:40 | 20   | 13   | 0.006          | 0.003         |
| 300372:6041 | 08/03/17 13:32:05 | 8    | 8    | 0.002          | 0.002         |
| 300373:6041 | 08/03/17 13:39:38 | 21   | 13   | 0.006          | 0.003         |
| 300374:6041 | 08/03/17 13:48:53 | 21   | 13   | 0.006          | 0.003         |
| 300375:6041 | 08/03/17 13:58:15 | 93   | 93   | 0.027          | 0.025         |
| 300389:6044 | 08/03/17 18:48:33 | 121  | 115  | 0.040          | 0.027         |
| 300390:6044 | 08/03/17 19:49:51 | 20   | 12   | 0.007          | 0.003         |
| 300391:6044 | 08/03/17 19:58:56 | 21   | 13   | 0.007          | 0.003         |
| 300392:6044 | 08/03/17 20:08:11 | 21   | 14   | 0.007          | 0.003         |
| 300393:6044 | 08/03/17 20:17:56 | 20   | 13   | 0.006          | 0.004         |
| 300394:6044 | 08/03/17 20:27:18 | 21   | 13   | 0.007          | 0.003         |
| 300395:6044 | 08/03/17 20:36:48 | 20   | 13   | 0.006          | 0.003         |
| 300396:6044 | 08/03/17 20:46:06 | 20   | 13   | 0.006          | 0.003         |
| 300397:6044 | 08/03/17 20:55:35 | 20   | 13   | 0.006          | 0.004         |
| 300398:6044 | 08/03/17 21:05:16 | 20   | 14   | 0.006          | 0.004         |
| 300399:6044 | 08/03/17 21:15:05 | 20   | 17   | 0.006          | 0.004         |
| 300400:6044 | 08/03/17 21:26:33 | 677  | 672  | 0.176          | 0.163         |
| 300401:6044 | 08/04/17 02:03:03 | 655  | 655  | 0.124          | 0.117         |
| 300459:6046 | 08/04/17 12:16:31 | 293  | 293  | 0.094          | 0.083         |
| 300461:6046 | 08/04/17 14:16:24 | 98   | 88   | 0.029          | 0.024         |
| 300462:6046 | 08/04/17 14:56:36 | 97   | 91   | 0.028          | 0.024         |
| 300463:6046 | 08/04/17 15:38:41 | 124  | 124  | 0.033          | 0.031         |
| 300464:6046 | 08/04/17 16:34:29 | 243  | 243  | 0.061          | 0.054         |
| 300466:6046 | 08/04/17 18:25:04 | 650  | 643  | 0.131          | 0.122         |
| 300467:6046 | 08/04/17 22:39:50 | 563  | 563  | 0.085          | 0.080         |
| 300497:6048 | 08/05/17 07:32:31 | 150  | 150  | 0.053          | 0.040         |
| 300514:6050 | 08/05/17 12:01:12 | 113  | 113  | 0.039          | 0.030         |
| 300515:6050 | 08/05/17 12:46:59 | 895  | 895  | 0.257          | 0.238         |
| 300516:6050 | 08/05/17 19:30:11 | 111  | 109  | 0.024          | 0.019         |
| 300517:6050 | 08/05/17 20:16:08 | 529  | 529  | 0.096          | 0.091         |
| 300558:6052 | 08/06/17 11:30:09 | 541  | 534  | 0.128          | 0.117         |
| 300560:6052 | 08/06/17 15:03:17 | 840  | 840  | 0.146          | 0.137         |
| 300574:6053 | 08/07/17 02:51:21 | 97   | 96   | 0.030          | 0.024         |
| 300575:6053 | 08/07/17 03:34:38 | 82   | 76   | 0.026          | 0.012         |
| 300576:6053 | 08/07/17 04:08:51 | 1199 | 1199 | 0.291          | 0.272         |
| 300631:6054 | 08/07/17 15:33:52 | 165  | 159  | 0.055          | 0.043         |
| 300632:6054 | 08/07/17 16:47:36 | 21   | 20   | 0.007          | 0.004         |
| 300633:6054 | 08/07/17 16:58:51 | 447  | 447  | 0.133          | 0.122         |
| 300635:6054 | 08/07/17 20:07:40 | 174  | 174  | 0.046          | 0.042         |
| 300636:6054 | 08/07/17 21:23:45 | 1570 | 1570 | 0.292          | 0.275         |
| 300673:6055 | 08/08/17 10:48:21 | 21   | 21   | 0.007          | 0.007         |
| 300674:6055 | 08/08/17 11:03:35 | 33   | 30   | 0.011          | 0.008         |
| 300675:6055 | 08/08/17 11:18:45 | 33   | 25   | 0.011          | 0.003         |
| 300676:6055 | 08/08/17 11:31:56 | 26   | 26   | 0.009          | 0.007         |
| 300742:6057 | 08/08/17 17:08:59 | 288  | 288  | 0.098          | 0.085         |
| 300777:6060 | 08/09/17 04:47:36 | 489  | 489  | 0.149          | 0.132         |
| 300780:6060 | 08/09/17 08:01:23 | 339  | 334  | 0.089          | 0.080         |
| 300785:6060 | 08/09/17 10:49:34 | 1252 | 1252 | 0.229          | 0.217         |
| 300806:6061 | 08/09/17 21:47:21 | 179  | 179  | 0.067          | 0.055         |
| 300811:6061 | 08/09/17 23:03:46 | 503  | 500  | 0.166          | 0.147         |
| 300812:6061 | 08/10/17 02:25:24 | 59   | 58   | 0.017          | 0.015         |
| 300816:6061 | 08/10/17 02:54:46 | 156  | 150  | 0.043          | 0.035         |
| 300817:6061 | 08/10/17 03:55:19 | 460  | 460  | 0.109          | 0.101         |
| 301046:6072 | 08/12/17 01:36:15 | 62   | 62   | 0.005          | 0.004         |
| 301141:6082 | 08/14/17 12:14:40 | 7    | 7    | 0.001          | 0.001         |
| 301142:6082 | 08/14/17 12:20:37 | 897  | 897  | 0.101          | 0.098         |
| 301161:6084 | 08/14/17 21:38:32 | 770  | 761  | 0.106          | 0.100         |
| 301165:6084 | 08/15/17 02:39:09 | 145  | 145  | 0.016          | 0.016         |
| 301179:6086 | 08/15/17 07:58:06 | 25   | 19   | 0.004          | 0.002         |
| 301180:6086 | 08/15/17 08:08:13 | 97   | 92   | 0.017          | 0.015         |
| 301183:6086 | 08/15/17 08:47:34 | 299  | 299  | 0.049          | 0.046         |
| 301281:6089 | 08/15/17 23:07:42 | 120  | 120  | 0.020          | 0.019         |
| 301283:6089 | 08/15/17 23:59:33 | 884  | 884  | 0.126          | 0.122         |
| 301298:6090 | 08/16/17 09:17:06 | 905  | 905  | 0.162          | 0.156         |
| 301323:6091 | 08/16/17 18:21:28 | 954  | 954  | 0.176          | 0.168         |
| 301330:6093 | 08/17/17 05:31:25 | 332  | 332  | 0.070          | 0.065         |
| 301359:6094 | 08/17/17 11:07:05 | 287  | 287  | 0.062          | 0.058         |
| 301384:6096 | 08/17/17 15:43:36 | 476  | 476  | 0.100          | 0.096         |
| 301391:6097 | 08/17/17 21:43:51 | 177  | 175  | 0.038          | 0.035         |
| 301392:6097 | 08/17/17 22:57:14 | 627  | 627  | 0.116          | 0.112         |
| 301393:6097 | 08/18/17 03:04:23 | 17   | 17   | 0.003          | 0.003         |
| 301396:6097 | 08/18/17 03:39:06 | 33   | 26   | 0.005          | 0.004         |
| 301397:6097 | 08/18/17 03:55:16 | 726  | 720  | 0.099          | 0.095         |
| 301398:6097 | 08/18/17 08:43:05 | 9    | 9    | 0.001          | 0.001         |
| 301399:6097 | 08/18/17 08:50:12 | 108  | 108  | 0.013          | 0.012         |
| 301417:6098 | 08/18/17 12:47:02 | 318  | 318  | 0.072          | 0.069         |
| 301447:6104 | 08/19/17 11:30:21 | 422  | 422  | 0.076          | 0.073         |
| 301448:6104 | 08/19/17 14:20:04 | 329  | 325  | 0.051          | 0.049         |
| 301449:6104 | 08/19/17 16:30:03 | 404  | 398  | 0.054          | 0.050         |
| 301450:6104 | 08/19/17 19:07:02 | 173  | 173  | 0.020          | 0.020         |
| 301461:6105 | 08/19/17 23:00:39 | 554  | 554  | 0.107          | 0.099         |
| 301472:6106 | 08/20/17 14:12:08 | 796  | 796  | 0.145          | 0.140         |
| 301475:6106 | 08/20/17 19:47:02 | 18   | 12   | 0.003          | 0.002         |
| 301476:6106 | 08/20/17 19:53:54 | 844  | 844  | 0.112          | 0.109         |
| 301519:6110 | 08/21/17 13:13:29 | 209  | 203  | 0.039          | 0.034         |
| 301524:6110 | 08/21/17 14:45:22 | 257  | 257  | 0.043          | 0.042         |
| 301529:6110 | 08/21/17 17:22:10 | 49   | 49   | 0.007          | 0.007         |
| 301530:6110 | 08/21/17 17:44:34 | 110  | 107  | 0.016          | 0.015         |
| 301531:6110 | 08/21/17 18:34:34 | 394  | 393  | 0.051          | 0.049         |
| 301532:6110 | 08/21/17 21:12:59 | 611  | 611  | 0.065          | 0.063         |
| 301567:6114 | 08/22/17 08:46:48 | 359  | 359  | 0.067          | 0.064         |
| 301627:6116 | 08/22/17 23:21:43 | 887  | 887  | 0.136          | 0.133         |
| 301664:6119 | 08/23/17 12:24:23 | 418  | 411  | 0.075          | 0.071         |
| 301665:6119 | 08/23/17 15:07:51 | 463  | 463  | 0.071          | 0.069         |
| 301694:6123 | 08/24/17 04:23:23 | 67   | 67   | 0.020          | 0.018         |
| 301912:6136 | 08/26/17 13:57:23 | 332  | 332  | 0.041          | 0.039         |
| 301913:6136 | 08/26/17 16:26:53 | 58   | 55   | 0.007          | 0.006         |
| 301914:6136 | 08/26/17 16:50:06 | 350  | 350  | 0.037          | 0.036         |
| 301941:6138 | 08/27/17 09:32:02 | 538  | 538  | 0.078          | 0.076         |
| 301959:6140 | 08/27/17 18:23:25 | 1909 | 1909 | 0.287          | 0.279         |
| 301960:6140 | 08/28/17 06:47:36 | 147  | 147  | 0.015          | 0.014         |
| 301970:6141 | 08/28/17 10:42:12 | 118  | 118  | 0.023          | 0.023         |
| 301984:6142 | 08/28/17 14:13:01 | 301  | 300  | 0.060          | 0.056         |
| 301985:6142 | 08/28/17 16:11:54 | 367  | 360  | 0.064          | 0.061         |
| 301986:6142 | 08/28/17 18:34:30 | 381  | 379  | 0.057          | 0.055         |
| 301987:6142 | 08/28/17 21:03:27 | 1128 | 1128 | 0.126          | 0.124         |
| 301997:6143 | 08/29/17 06:55:19 | 371  | 361  | 0.071          | 0.066         |
| 301998:6143 | 08/29/17 09:19:31 | 1704 | 1704 | 0.224          | 0.220         |
| 302019:6146 | 08/30/17 03:40:54 | 53   | 53   | 0.010          | 0.009         |
| 302026:6147 | 08/30/17 06:49:09 | 37   | 30   | 0.007          | 0.005         |
| 302029:6147 | 08/30/17 07:16:38 | 98   | 92   | 0.020          | 0.016         |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-------+-------+-------------------+------------------+
| 57    | 163  | 52810 | 52352 | 10.684            | 9.756            |
+-------+------+-------+-------+-------------------+------------------+

#Check JSON:
#(run,ls) in json but not in results: []
