#Data tag : v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 302031:6147 | 08/30/17 08:08:29 | 814  | 814  | 0.136          | 0.130         |
| 302033:6147 | 08/30/17 13:34:23 | 43   | 41   | 0.006          | 0.005         |
| 302034:6147 | 08/30/17 13:54:42 | 20   | 12   | 0.003          | 0.000         |
| 302037:6147 | 08/30/17 14:25:39 | 3    | 2    | 0.000          | 0.000         |
| 302038:6147 | 08/30/17 14:31:57 | 1    | 1    | 0.000          | 0.000         |
| 302040:6147 | 08/30/17 14:35:43 | 174  | 168  | 0.022          | 0.021         |
| 302041:6147 | 08/30/17 15:44:00 | 72   | 65   | 0.009          | 0.008         |
| 302042:6147 | 08/30/17 16:12:12 | 523  | 516  | 0.057          | 0.055         |
| 302043:6147 | 08/30/17 19:35:17 | 228  | 228  | 0.021          | 0.021         |
| 302131:6152 | 08/31/17 12:32:49 | 873  | 873  | 0.115          | 0.113         |
| 302159:6155 | 09/01/17 00:37:45 | 108  | 108  | 0.017          | 0.016         |
| 302163:6156 | 09/01/17 03:33:23 | 1197 | 1189 | 0.154          | 0.148         |
| 302165:6156 | 09/01/17 11:25:29 | 85   | 80   | 0.008          | 0.007         |
| 302166:6156 | 09/01/17 11:58:48 | 16   | 16   | 0.002          | 0.002         |
| 302225:6158 | 09/01/17 18:41:42 | 868  | 868  | 0.119          | 0.116         |
| 302228:6159 | 09/02/17 03:31:11 | 234  | 234  | 0.040          | 0.039         |
| 302229:6159 | 09/02/17 05:05:33 | 457  | 457  | 0.070          | 0.068         |
| 302240:6160 | 09/02/17 10:53:49 | 960  | 960  | 0.144          | 0.140         |
| 302262:6161 | 09/03/17 03:32:01 | 435  | 428  | 0.081          | 0.077         |
| 302263:6161 | 09/03/17 06:21:33 | 1250 | 1250 | 0.170          | 0.167         |
| 302277:6165 | 09/03/17 22:44:53 | 372  | 372  | 0.056          | 0.054         |
| 302279:6165 | 09/04/17 07:35:59 | 71   | 70   | 0.007          | 0.006         |
| 302280:6165 | 09/04/17 08:06:52 | 152  | 152  | 0.013          | 0.013         |
| 302322:6167 | 09/04/17 17:43:03 | 838  | 838  | 0.102          | 0.099         |
| 302328:6168 | 09/05/17 01:49:04 | 681  | 681  | 0.098          | 0.095         |
| 302337:6169 | 09/05/17 09:16:54 | 136  | 127  | 0.024          | 0.021         |
| 302342:6169 | 09/05/17 10:22:41 | 54   | 54   | 0.009          | 0.007         |
| 302343:6169 | 09/05/17 10:52:16 | 98   | 97   | 0.016          | 0.016         |
| 302344:6169 | 09/05/17 11:33:15 | 480  | 480  | 0.072          | 0.070         |
| 302350:6169 | 09/05/17 15:02:18 | 136  | 136  | 0.017          | 0.017         |
| 302388:6170 | 09/05/17 18:47:02 | 685  | 685  | 0.134          | 0.129         |
| 302392:6171 | 09/06/17 01:57:38 | 363  | 355  | 0.083          | 0.077         |
| 302393:6171 | 09/06/17 04:19:09 | 887  | 887  | 0.164          | 0.161         |
| 302448:6174 | 09/06/17 20:48:45 | 1898 | 1898 | 0.322          | 0.314         |
| 302472:6175 | 09/07/17 11:26:59 | 781  | 781  | 0.165          | 0.158         |
| 302473:6175 | 09/07/17 16:32:57 | 377  | 368  | 0.065          | 0.061         |
| 302474:6175 | 09/07/17 19:17:18 | 305  | 305  | 0.046          | 0.044         |
| 302475:6175 | 09/07/17 21:17:58 | 7    | 2    | 0.001          | 0.000         |
| 302476:6175 | 09/07/17 21:22:32 | 259  | 259  | 0.035          | 0.034         |
| 302479:6176 | 09/08/17 01:19:43 | 309  | 309  | 0.073          | 0.070         |
| 302484:6177 | 09/08/17 06:07:18 | 169  | 169  | 0.040          | 0.037         |
| 302485:6177 | 09/08/17 07:17:25 | 922  | 922  | 0.183          | 0.177         |
| 302492:6177 | 09/08/17 13:49:02 | 49   | 44   | 0.008          | 0.007         |
| 302493:6177 | 09/08/17 14:09:59 | 7    | 2    | 0.001          | 0.000         |
| 302494:6177 | 09/08/17 14:13:24 | 618  | 618  | 0.090          | 0.088         |
| 302509:6179 | 09/08/17 23:12:14 | 20   | 20   | 0.005          | 0.005         |
| 302513:6180 | 09/09/17 02:18:37 | 53   | 53   | 0.014          | 0.013         |
| 302522:6182 | 09/09/17 07:21:37 | 18   | 12   | 0.003          | 0.001         |
| 302523:6182 | 09/09/17 07:29:07 | 59   | 54   | 0.014          | 0.011         |
| 302525:6182 | 09/09/17 07:58:46 | 709  | 702  | 0.144          | 0.137         |
| 302526:6182 | 09/09/17 13:00:58 | 582  | 582  | 0.092          | 0.090         |
| 302548:6185 | 09/10/17 01:59:07 | 85   | 81   | 0.019          | 0.016         |
