#Data tag : v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 303825:6239 | 09/24/17 07:38:22 | 180  | 180  | 0.024          | 0.024         |
| 303832:6240 | 09/24/17 11:12:03 | 1857 | 1857 | 0.343          | 0.333         |
| 303838:6241 | 09/25/17 01:48:14 | 1963 | 1963 | 0.408          | 0.395         |
| 303885:6243 | 09/25/17 19:09:19 | 1993 | 1993 | 0.431          | 0.415         |
| 303948:6245 | 09/26/17 12:47:20 | 1624 | 1624 | 0.380          | 0.365         |
| 303998:6247 | 09/27/17 07:04:50 | 262  | 262  | 0.083          | 0.076         |
| 303999:6247 | 09/27/17 08:51:44 | 751  | 747  | 0.187          | 0.179         |
| 304000:6247 | 09/27/17 13:43:21 | 56   | 56   | 0.011          | 0.011         |
| 304062:6252 | 09/27/17 20:37:26 | 1961 | 1961 | 0.399          | 0.386         |
| 304119:6253 | 09/28/17 12:28:48 | 76   | 72   | 0.025          | 0.021         |
| 304120:6253 | 09/28/17 13:00:39 | 253  | 252  | 0.078          | 0.073         |
| 304125:6253 | 09/28/17 14:40:13 | 1769 | 1769 | 0.351          | 0.341         |
| 304144:6255 | 09/29/17 05:27:56 | 2580 | 2580 | 0.561          | 0.538         |
| 304158:6258 | 09/30/17 06:34:03 | 1922 | 1922 | 0.386          | 0.374         |
| 304169:6259 | 09/30/17 22:12:02 | 1668 | 1666 | 0.353          | 0.341         |
| 304170:6259 | 10/01/17 09:08:29 | 620  | 620  | 0.078          | 0.077         |
| 304199:6261 | 10/01/17 18:52:33 | 9    | 5    | 0.003          | 0.000         |
| 304200:6261 | 10/01/17 18:55:58 | 321  | 321  | 0.093          | 0.089         |
| 304204:6262 | 10/01/17 23:41:29 | 553  | 553  | 0.164          | 0.154         |
| 304209:6263 | 10/02/17 05:33:50 | 405  | 405  | 0.126          | 0.116         |
| 304291:6266 | 10/02/17 17:40:13 | 30   | 22   | 0.009          | 0.003         |
| 304292:6266 | 10/02/17 17:51:42 | 1753 | 1753 | 0.370          | 0.350         |
| 304333:6268 | 10/03/17 11:50:17 | 1580 | 1580 | 0.384          | 0.369         |
| 304354:6269 | 10/04/17 03:18:00 | 214  | 214  | 0.072          | 0.068         |
| 304366:6271 | 10/04/17 09:20:22 | 1819 | 1819 | 0.438          | 0.421         |
| 304446:6272 | 10/05/17 00:46:48 | 55   | 55   | 0.020          | 0.017         |
| 304447:6272 | 10/05/17 01:17:37 | 1639 | 1639 | 0.388          | 0.371         |
| 304451:6272 | 10/05/17 12:14:42 | 60   | 54   | 0.009          | 0.007         |
| 304505:6275 | 10/05/17 18:53:16 | 27   | 26   | 0.010          | 0.008         |
| 304506:6275 | 10/05/17 19:04:51 | 370  | 370  | 0.125          | 0.120         |
| 304507:6275 | 10/05/17 21:32:17 | 239  | 235  | 0.071          | 0.051         |
| 304508:6275 | 10/05/17 23:07:04 | 1324 | 1324 | 0.257          | 0.250         |
| 304562:6276 | 10/06/17 12:30:34 | 794  | 794  | 0.236          | 0.223         |
| 304616:6278 | 10/06/17 22:15:31 | 942  | 942  | 0.269          | 0.254         |
| 304625:6279 | 10/07/17 07:35:53 | 464  | 462  | 0.156          | 0.136         |
| 304626:6279 | 10/07/17 10:38:45 | 8    | 8    | 0.003          | 0.002         |
| 304654:6283 | 10/08/17 01:25:39 | 652  | 645  | 0.208          | 0.174         |
| 304655:6283 | 10/08/17 05:39:52 | 1194 | 1194 | 0.241          | 0.232         |
| 304661:6284 | 10/08/17 15:49:50 | 145  | 142  | 0.050          | 0.046         |
| 304662:6284 | 10/08/17 17:02:50 | 150  | 147  | 0.048          | 0.044         |
| 304663:6284 | 10/08/17 18:01:29 | 689  | 689  | 0.186          | 0.178         |
| 304671:6285 | 10/09/17 00:42:58 | 1143 | 1139 | 0.327          | 0.309         |
| 304672:6285 | 10/09/17 08:09:11 | 60   | 60   | 0.013          | 0.012         |
| 304737:6287 | 10/09/17 19:53:10 | 81   | 75   | 0.028          | 0.024         |
| 304738:6287 | 10/09/17 20:24:43 | 1681 | 1677 | 0.428          | 0.411         |
| 304739:6287 | 10/10/17 07:20:19 | 14   | 11   | 0.002          | 0.002         |
| 304740:6287 | 10/10/17 07:25:28 | 278  | 278  | 0.041          | 0.040         |
| 304776:6288 | 10/10/17 12:08:19 | 50   | 41   | 0.017          | 0.009         |
| 304777:6288 | 10/10/17 12:27:42 | 504  | 497  | 0.167          | 0.157         |
| 304778:6288 | 10/10/17 15:47:08 | 1297 | 1297 | 0.276          | 0.268         |
| 304797:6291 | 10/11/17 07:04:10 | 2910 | 2910 | 0.583          | 0.561         |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-------+-------+-------------------+------------------+
| 29    | 51   | 42989 | 42907 | 9.915             | 9.424            |
+-------+------+-------+-------+-------------------+------------------+

#Check JSON:
#(run,ls) in json but not in results: []
