#Data tag : v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 305044:6297 | 10/13/17 21:00:46 | 222  | 218  | 0.073          | 0.067         |
| 305045:6297 | 10/13/17 23:11:08 | 873  | 873  | 0.213          | 0.203         |
| 305046:6297 | 10/14/17 04:51:46 | 683  | 683  | 0.113          | 0.110         |
| 305059:6298 | 10/14/17 11:45:00 | 512  | 510  | 0.173          | 0.158         |
| 305062:6298 | 10/14/17 15:13:19 | 8    | 5    | 0.003          | 0.001         |
| 305063:6298 | 10/14/17 15:18:16 | 35   | 35   | 0.012          | 0.010         |
| 305064:6298 | 10/14/17 15:34:28 | 2045 | 2045 | 0.395          | 0.383         |
| 305081:6300 | 10/15/17 09:05:35 | 1056 | 1056 | 0.334          | 0.315         |
| 305112:6303 | 10/15/17 23:07:00 | 1460 | 1455 | 0.421          | 0.402         |
| 305113:6303 | 10/16/17 08:40:47 | 64   | 59   | 0.012          | 0.011         |
| 305114:6303 | 10/16/17 09:05:23 | 526  | 526  | 0.088          | 0.086         |
| 305178:6304 | 10/16/17 17:19:51 | 55   | 52   | 0.019          | 0.017         |
| 305179:6304 | 10/16/17 17:41:43 | 21   | 17   | 0.007          | 0.004         |
| 305180:6304 | 10/16/17 17:50:43 | 9    | 5    | 0.003          | 0.001         |
| 305181:6304 | 10/16/17 17:55:04 | 8    | 7    | 0.003          | 0.001         |
| 305182:6304 | 10/16/17 18:00:34 | 8    | 5    | 0.003          | 0.001         |
| 305183:6304 | 10/16/17 18:04:57 | 236  | 232  | 0.082          | 0.077         |
| 305184:6304 | 10/16/17 19:50:15 | 8    | 8    | 0.003          | 0.000         |
| 305186:6304 | 10/16/17 19:58:50 | 415  | 415  | 0.128          | 0.122         |
| 305188:6304 | 10/16/17 23:07:05 | 1002 | 1002 | 0.206          | 0.200         |
| 305202:6305 | 10/17/17 08:18:29 | 653  | 648  | 0.222          | 0.208         |
| 305204:6305 | 10/17/17 13:20:31 | 1229 | 1229 | 0.264          | 0.256         |
| 305207:6306 | 10/17/17 23:34:04 | 1026 | 1026 | 0.331          | 0.318         |
| 305208:6306 | 10/18/17 06:15:42 | 372  | 372  | 0.087          | 0.083         |
| 305234:6307 | 10/18/17 11:00:16 | 48   | 46   | 0.017          | 0.013         |
| 305236:6307 | 10/18/17 11:28:43 | 23   | 23   | 0.008          | 0.006         |
| 305237:6307 | 10/18/17 11:42:19 | 1146 | 1146 | 0.354          | 0.338         |
| 305247:6308 | 10/18/17 23:58:29 | 377  | 375  | 0.131          | 0.122         |
| 305248:6308 | 10/19/17 02:26:30 | 957  | 952  | 0.273          | 0.258         |
| 305252:6308 | 10/19/17 09:09:00 | 548  | 548  | 0.098          | 0.096         |
| 305282:6309 | 10/19/17 15:28:20 | 133  | 133  | 0.046          | 0.044         |
| 305310:6311 | 10/19/17 20:28:02 | 394  | 389  | 0.137          | 0.127         |
| 305311:6311 | 10/19/17 23:03:24 | 153  | 153  | 0.051          | 0.047         |
| 305312:6311 | 10/20/17 00:05:09 | 227  | 227  | 0.072          | 0.068         |
| 305313:6311 | 10/20/17 01:35:48 | 741  | 739  | 0.179          | 0.171         |
| 305314:6311 | 10/20/17 06:25:45 | 404  | 404  | 0.071          | 0.069         |
| 305336:6312 | 10/20/17 12:11:10 | 206  | 206  | 0.071          | 0.066         |
| 305338:6312 | 10/20/17 13:32:39 | 107  | 103  | 0.037          | 0.033         |
| 305341:6312 | 10/20/17 14:14:05 | 503  | 500  | 0.160          | 0.152         |
| 305349:6312 | 10/20/17 17:29:36 | 34   | 30   | 0.009          | 0.004         |
| 305350:6312 | 10/20/17 17:43:03 | 21   | 15   | 0.006          | 0.004         |
| 305351:6312 | 10/20/17 17:51:39 | 868  | 868  | 0.186          | 0.179         |
| 305358:6313 | 10/21/17 02:01:06 | 162  | 158  | 0.056          | 0.050         |
| 305364:6314 | 10/21/17 05:43:22 | 98   | 94   | 0.034          | 0.030         |
| 305365:6314 | 10/21/17 06:21:13 | 825  | 825  | 0.262          | 0.249         |
| 305366:6314 | 10/21/17 11:46:55 | 1240 | 1240 | 0.241          | 0.234         |
| 305376:6315 | 10/22/17 00:11:10 | 98   | 98   | 0.034          | 0.033         |
| 305377:6315 | 10/22/17 01:10:11 | 1514 | 1514 | 0.418          | 0.399         |
| 305405:6317 | 10/22/17 18:15:50 | 496  | 494  | 0.170          | 0.159         |
| 305406:6317 | 10/22/17 21:45:01 | 1458 | 1458 | 0.329          | 0.317         |
| 305440:6318 | 10/23/17 10:50:34 | 272  | 266  | 0.094          | 0.083         |
| 305441:6318 | 10/23/17 12:36:14 | 121  | 121  | 0.038          | 0.037         |
| 305516:6323 | 10/23/17 23:42:59 | 555  | 552  | 0.187          | 0.170         |
| 305517:6323 | 10/24/17 03:42:15 | 163  | 163  | 0.050          | 0.034         |
| 305518:6323 | 10/24/17 04:49:00 | 1134 | 1134 | 0.244          | 0.235         |
| 305586:6324 | 10/24/17 17:46:57 | 531  | 531  | 0.181          | 0.171         |
| 305589:6324 | 10/24/17 22:47:21 | 691  | 691  | 0.171          | 0.163         |
| 305590:6324 | 10/25/17 03:17:27 | 1004 | 1004 | 0.157          | 0.153         |
| 305636:6325 | 10/25/17 13:27:51 | 2326 | 2326 | 0.550          | 0.526         |
| 305766:6337 | 10/27/17 04:37:33 | 848  | 847  | 0.277          | 0.264         |
| 305809:6341 | 10/27/17 23:20:39 | 142  | 142  | 0.049          | 0.046         |
| 305814:6343 | 10/28/17 06:17:09 | 1823 | 1823 | 0.470          | 0.448         |
| 305821:6344 | 10/28/17 20:29:23 | 772  | 772  | 0.255          | 0.240         |
| 305832:6346 | 10/29/17 11:22:51 | 180  | 180  | 0.063          | 0.058         |
| 305840:6346 | 10/29/17 15:39:02 | 1144 | 1141 | 0.264          | 0.252         |
| 305842:6346 | 10/29/17 23:07:27 | 862  | 862  | 0.119          | 0.116         |
| 305862:6347 | 10/30/17 11:28:43 | 625  | 625  | 0.212          | 0.202         |
| 305898:6348 | 10/30/17 20:22:12 | 711  | 711  | 0.241          | 0.230         |
| 305902:6349 | 10/31/17 04:27:06 | 469  | 469  | 0.161          | 0.154         |
| 305967:6351 | 10/31/17 16:08:27 | 32   | 32   | 0.011          | 0.011         |
| 306029:6355 | 11/01/17 18:28:41 | 34   | 32   | 0.012          | 0.009         |
| 306030:6355 | 11/01/17 18:41:57 | 110  | 110  | 0.038          | 0.035         |
| 306036:6356 | 11/01/17 22:43:48 | 4    | 4    | 0.001          | 0.000         |
| 306037:6356 | 11/01/17 22:46:27 | 49   | 44   | 0.017          | 0.012         |
| 306038:6356 | 11/01/17 23:06:47 | 139  | 138  | 0.048          | 0.044         |
| 306041:6356 | 11/02/17 00:07:18 | 320  | 320  | 0.107          | 0.100         |
| 306042:6356 | 11/02/17 02:14:23 | 371  | 365  | 0.108          | 0.100         |
| 306048:6356 | 11/02/17 04:39:07 | 140  | 136  | 0.036          | 0.032         |
| 306049:6356 | 11/02/17 05:33:34 | 358  | 358  | 0.079          | 0.076         |
| 306051:6356 | 11/02/17 08:00:13 | 415  | 415  | 0.073          | 0.071         |
| 306091:6358 | 11/02/17 18:43:56 | 208  | 198  | 0.068          | 0.060         |
| 306092:6358 | 11/02/17 20:04:27 | 972  | 972  | 0.236          | 0.221         |
| 306095:6358 | 11/03/17 02:42:56 | 300  | 300  | 0.051          | 0.049         |
| 306121:6360 | 11/03/17 13:15:57 | 96   | 91   | 0.033          | 0.029         |
| 306122:6360 | 11/03/17 13:53:18 | 127  | 127  | 0.044          | 0.040         |
| 306125:6360 | 11/03/17 14:46:12 | 2970 | 2964 | 0.583          | 0.563         |
| 306126:6360 | 11/04/17 10:14:24 | 497  | 497  | 0.032          | 0.031         |
| 306134:6362 | 11/04/17 17:39:47 | 32   | 24   | 0.011          | 0.007         |
| 306135:6362 | 11/04/17 17:52:02 | 1095 | 1095 | 0.349          | 0.329         |
| 306138:6362 | 11/05/17 01:32:22 | 1298 | 1298 | 0.219          | 0.213         |
| 306139:6362 | 11/05/17 10:17:58 | 1112 | 1112 | 0.105          | 0.103         |
| 306153:6364 | 11/06/17 02:35:57 | 88   | 83   | 0.031          | 0.026         |
| 306154:6364 | 11/06/17 03:10:20 | 1215 | 1213 | 0.362          | 0.334         |
| 306155:6364 | 11/06/17 11:12:06 | 1440 | 1440 | 0.227          | 0.221         |
| 306169:6364 | 11/06/17 21:43:35 | 745  | 735  | 0.070          | 0.067         |
| 306170:6364 | 11/07/17 02:33:05 | 22   | 15   | 0.002          | 0.001         |
| 306171:6364 | 11/07/17 02:41:36 | 503  | 503  | 0.037          | 0.036         |
| 306418:6370 | 11/09/17 02:11:32 | 74   | 66   | 0.026          | 0.021         |
| 306419:6370 | 11/09/17 02:41:06 | 62   | 58   | 0.021          | 0.018         |
| 306420:6370 | 11/09/17 03:06:38 | 108  | 108  | 0.037          | 0.034         |
| 306422:6370 | 11/09/17 04:30:38 | 118  | 115  | 0.038          | 0.035         |
| 306423:6370 | 11/09/17 05:16:29 | 333  | 323  | 0.093          | 0.086         |
| 306432:6370 | 11/09/17 08:44:07 | 339  | 339  | 0.035          | 0.034         |
| 306454:6371 | 11/09/17 14:18:50 | 89   | 85   | 0.031          | 0.027         |
| 306455:6371 | 11/09/17 14:53:14 | 11   | 6    | 0.004          | 0.002         |
| 306456:6371 | 11/09/17 14:58:09 | 786  | 783  | 0.248          | 0.237         |
| 306457:6371 | 11/09/17 20:03:48 | 31   | 28   | 0.008          | 0.007         |
| 306458:6371 | 11/09/17 20:15:40 | 225  | 221  | 0.055          | 0.052         |
| 306459:6371 | 11/09/17 22:00:11 | 2273 | 2272 | 0.317          | 0.310         |
| 306460:6371 | 11/10/17 12:48:14 | 73   | 64   | 0.004          | 0.004         |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-------+-------+-------------------+------------------+
| 37    | 110  | 58894 | 58670 | 14.333            | 13.568           |
+-------+------+-------+-------+-------------------+------------------+

#Check JSON:
#(run,ls) in json but not in results: [(305178, 75), (306459, 2273)]
